Depth (m),Litho (Euc),Calcarenite (%),Calcilutite (%),Fine Sand (%),Claystone (%),Sandstone (%),Argillaceous Siltstone (%),Calcareous Claystone (%),Silty Claystone (%),Argillaceous Sandstone (%),Dolomitic Calcarenite (%),Argillaceous Calcilutite (%)
1360,Calcilutite,55,40,-999.25,-999.25,5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1380,Calcilutite,55,40,-999.25,-999.25,5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1400,Calcarenite,65,30,-999.25,-999.25,5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1420,Calcilutite,70,30,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1440,Calcilutite,50,50,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1460,Calcilutite,5,85,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,10,-999.25
1470,Calcilutite,5,85,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,10,-999.25
1480,Calcilutite,-999.25,90,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,10,-999.25
1490,Dolomitic Calcarenite,-999.25,85,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,15,-999.25
1500,Dolomitic Calcarenite,5,85,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,10,-999.25
1510,Dolomitic Calcarenite,5,80,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,15,-999.25
1520,Calcilutite,20,80,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1530,Calcilutite,20,80,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1540,Calcilutite,10,90,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1550,Calcilutite,10,90,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1560,Calcilutite,10,90,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1570,Calcilutite,15,85,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1580,Calcilutite,15,85,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1590,Calcilutite,10,90,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1600,Calcarenite,9,90,-999.25,-999.25,-999.25,1,-999.25,-999.25,-999.25,-999.25,-999.25
1610,Calcilutite,9,90,-999.25,-999.25,-999.25,1,-999.25,-999.25,-999.25,-999.25,-999.25
1620,Calcarenite,9,90,-999.25,-999.25,-999.25,1,-999.25,-999.25,-999.25,-999.25,-999.25
1630,Calcilutite,9,90,-999.25,-999.25,-999.25,1,-999.25,-999.25,-999.25,-999.25,-999.25
1640,Calcilutite,9,90,-999.25,-999.25,-999.25,1,-999.25,-999.25,-999.25,-999.25,-999.25
1650,Calcilutite,30,60,-999.25,-999.25,10,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1660,Calcarenite,30,40,-999.25,-999.25,30,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1670,Calcilutite,40,30,-999.25,-999.25,30,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1680,Calcarenite,30,30,-999.25,-999.25,40,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1700,Calcilutite,40,30,-999.25,-999.25,30,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1720,Calcilutite,30,20,-999.25,-999.25,50,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1740,Sandstone,10,15,-999.25,-999.25,75,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1760,Sandstone,-999.25,10,-999.25,-999.25,90,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1780,Sandstone,-999.25,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1800,Sandstone,-999.25,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1820,Claystone,-999.25,-999.25,-999.25,10,90,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1840,Claystone,-999.25,-999.25,-999.25,30,70,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1860,Claystone,-999.25,-999.25,-999.25,60,40,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1880,Sandstone,-999.25,-999.25,-999.25,60,40,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1900,Sandstone,-999.25,-999.25,-999.25,30,40,-999.25,-999.25,-999.25,30,-999.25,-999.25
1920,Sandstone,-999.25,-999.25,-999.25,20,80,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1940,Claystone,-999.25,-999.25,-999.25,20,30,-999.25,-999.25,-999.25,50,-999.25,-999.25
1960,Sandstone,-999.25,-999.25,-999.25,25,25,-999.25,-999.25,-999.25,50,-999.25,-999.25
1980,Claystone,-999.25,-999.25,-999.25,30,20,-999.25,-999.25,-999.25,50,-999.25,-999.25
2000,Claystone,-999.25,-999.25,-999.25,40,20,-999.25,-999.25,-999.25,40,-999.25,-999.25
2020,Claystone,-999.25,-999.25,-999.25,40,15,-999.25,-999.25,-999.25,45,-999.25,-999.25
2040,Claystone,-999.25,-999.25,-999.25,55,5,-999.25,-999.25,-999.25,40,-999.25,-999.25
2060,Claystone,-999.25,-999.25,-999.25,50,5,-999.25,-999.25,-999.25,45,-999.25,-999.25
2080,Claystone,-999.25,-999.25,-999.25,60,5,-999.25,-999.25,-999.25,35,-999.25,-999.25
2100,Sandstone,-999.25,-999.25,-999.25,40,60,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2110,Sandstone,-999.25,-999.25,-999.25,10,90,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2120,Sandstone,-999.25,-999.25,-999.25,20,80,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2130,Sandstone,-999.25,-999.25,-999.25,30,70,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2140,Sandstone,1,-999.25,-999.25,10,89,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2150,Sandstone,-999.25,-999.25,-999.25,20,80,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2160,Sandstone,-999.25,-999.25,-999.25,55,45,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2170,Sandstone,-999.25,-999.25,-999.25,20,80,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2180,Sandstone,-999.25,-999.25,-999.25,30,70,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2190,Claystone,-999.25,-999.25,-999.25,20,80,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2200,Claystone,-999.25,-999.25,-999.25,20,80,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2210,Claystone,-999.25,-999.25,-999.25,85,15,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2220,Claystone,-999.25,-999.25,-999.25,55,45,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2230,Claystone,-999.25,-999.25,-999.25,60,40,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2240,Claystone,-999.25,-999.25,-999.25,90,10,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2250,Claystone,-999.25,-999.25,-999.25,80,20,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2260,Claystone,-999.25,-999.25,-999.25,90,10,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2270,Claystone,-999.25,-999.25,-999.25,90,10,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2280,Claystone,-999.25,-999.25,-999.25,95,5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2290,Claystone,-999.25,-999.25,-999.25,95,5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2300,Claystone,-999.25,-999.25,-999.25,97,3,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2310,Claystone,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2320,Claystone,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2330,Claystone,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2340,Claystone,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2350,Claystone,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2360,Claystone,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2370,Claystone,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2380,Claystone,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2400,Claystone,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2415,Calcareous Claystone,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2420,Calcareous Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25
2440,Calcareous Claystone,-999.25,1,-999.25,-999.25,-999.25,-999.25,99,-999.25,-999.25,-999.25,-999.25
2460,Calcareous Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25
2480,Calcareous Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25
2500,Calcilutite,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25
2520,Calcilutite,-999.25,40,-999.25,-999.25,-999.25,-999.25,60,-999.25,-999.25,-999.25,-999.25
2540,Calcilutite,-999.25,40,-999.25,-999.25,-999.25,-999.25,30,-999.25,-999.25,-999.25,-999.25
2560,Calcilutite,-999.25,30,-999.25,-999.25,-999.25,-999.25,50,-999.25,-999.25,-999.25,-999.25
2580,Calcilutite,-999.25,85,-999.25,-999.25,-999.25,-999.25,10,-999.25,-999.25,-999.25,-999.25
2590,Sandstone,-999.25,70,-999.25,-999.25,10,-999.25,-999.25,-999.25,-999.25,-999.25,20
2600,Argillaceous Calcilutite,-999.25,15,-999.25,-999.25,5,-999.25,-999.25,-999.25,-999.25,-999.25,80
2610,Argillaceous Calcilutite,-999.25,10,-999.25,-999.25,-999.25,-999.25,5,-999.25,-999.25,-999.25,85
2620,Claystone,-999.25,20,-999.25,-999.25,-999.25,-999.25,5,-999.25,-999.25,-999.25,75
2640,Claystone,-999.25,5,-999.25,90,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,5
2660,Claystone,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2680,Claystone,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2700,Claystone,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2720,Claystone,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2740,Claystone,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2760,Claystone,-999.25,-999.25,-999.25,99,1,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2780,Claystone,-999.25,-999.25,-999.25,99,1,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
